Product ID,Name,Description,Price,Currency
1001,AuraTrace Suraksha Herbal Tea,Daily herbal tea blend for seasonal wellness and light digestive comfort. Pack size: 100 g tea blend.,9.99,GBP
1007,AuraTrace Apamarga Kshara Tablets,Herbal tablet support for urinary and cleansing routines. Quantity: 60 tablets.,17.99,GBP
1011,AuraTrace Arjuna Tablets,Arjuna-based daily support for active lifestyle routines. Quantity: 60 tablets.,17.99,GBP
1014,AuraTrace Ashwagandha Tablets,Adaptogenic ashwagandha tablets for stress and stamina support. Quantity: 60 tablets.,17.99,GBP
1017,AuraTrace Ashwagandha + Ayush Kwath Combo,Stress and seasonal support combo. Quantity: 60 tablets + 100 g kwath blend.,27.99,GBP
1018,AuraTrace Brahmi Tablets,Brahmi formulation for focus and mental clarity routines. Quantity: 30 tablets.,10.00,GBP
1020,AuraTrace Giloy Tablets,Giloy tablets for daily resilience support. Quantity: 30 tablets.,10.00,GBP
1022,AuraTrace Power Plus Tablets,Daily vitality support in a compact 30-tablet pack. Quantity: 30 tablets.,10.00,GBP
1023,AuraTrace Pustihar Tablets,Comprehensive wellness support formula. Quantity: 60 tablets.,17.99,GBP
1024,AuraTrace Sugar Fit Tablets,Herbal blood-sugar support blend for daily wellness plans. Quantity: 60 tablets.,17.99,GBP
1025,AuraTrace Slim Rattan Tablets,Weight-management support with appetite and metabolism focus. Quantity: 30 tablets.,10.00,GBP
1026,AuraTrace Slim Rattan Granules,Convenient granule format for weight routine support. Quantity: 200 g.,13.99,GBP
1027,AuraTrace Madhumay Rakshak Granules,Granule blend designed for glucose and metabolic balance plans. Quantity: 200 g.,13.99,GBP
1029,AuraTrace Dard Rakshak Tablets,Pain-relief support tablets with herb-inspired anti-inflammatory profile. Quantity: 30 tablets.,10.00,GBP
1030,AuraTrace Dard Rakshak Oil,Topical wellness oil for muscle and joint comfort routines. Quantity: 100 ml.,8.99,GBP
1032,AuraTrace Gynae Plus Tablets,Women wellness support formulation for balance and vitality. Quantity: 60 tablets.,17.99,GBP
1033,AuraTrace Ayush Kwath,Classical herbal decoction mix for seasonal and respiratory support. Quantity: 100 g.,9.49,GBP
